CHAMPION,ITEM,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
Lissandra,Doran's Ring,Starter,0.5115,0.5373,2.01,5.0,Malignance,Shadowflame,Dark Seal
Jarvan IV,Boots,Boots,0.0187,0.6,3.18,10.0,Profane Hydra,Axiom Arc,Sundered Sky
Xin Zhao,Essence Reaver,Legendary,0.0286,0.5,1.45,10.0,Eclipse,Hextech Gunblade,Infinity Edge
Fizz,Morellonomicon,Legendary,0.0056,1.0,2.43,25.0,Lich Bane,Shadowflame,
Brand,Stormsurge,Legendary,0.0066,1.0,4.83,30.0,Bloodletter's Curse,Liandry's Torment,Rylai's Crystal Scepter
Galio,Spirit Visage,Legendary,0.0029,0.0,3.0,25.0,Bandlepipes,,
Zed,Scorchclaw Pup,Starter,0.0014,0.0,0.0,5.0,Long Sword,Boots,Serrated Dirk
Warwick,Hearthbound Axe,Epic,0.0075,0.0,0.57,5.0,Blade of The Ruined King,Rectrix,Titanic Hydra
Diana,Dark Seal,Starter,0.3507,0.5284,2.83,5.0,Dusk and Dawn,Riftmaker,Sorcerer's Shoes
Yasuo,Hearthbound Axe,Epic,0.0035,0.3333,1.1,10.0,Blade of The Ruined King,Recurve Bow,Immortal Shieldbow
Volibear,Oblivion Orb,Epic,0.0018,1.0,4.0,20.0,Dead Man's Plate,Dusk and Dawn,Randuin's Omen
Zaahen,Spear of Shojin,Legendary,0.0201,0.25,1.37,25.0,Black Cleaver,Stridebreaker,Trinity Force
Aurelion Sol,Blasting Wand,Basic,0.009,1.0,3.85,5.0,Blackfire Torch,Giant's Belt,Liandry's Torment
Khazix,Serylda's Grudge,Legendary,0.3974,0.5792,3.01,25.0,Umbral Glaive,Edge of Night,Opportunity
Twisted Fate,Oracle Lens,Trinket,0.116,0.4412,2.69,10.0,Lich Bane,Rod of Ages,Rapid Firecannon
Gnar,Ruby Crystal,Basic,0.2136,0.4773,1.84,20.0,Trinity Force,Plated Steelcaps,Black Cleaver
Ryze,Randuin's Omen,Legendary,0.0038,1.0,1.9,35.0,Actualizer,Frozen Heart,Rod of Ages
